Código,Nome,Preço,@Imagem
"202036,BRINCO PRATA 925 GOTA CRAVEJADA,""R$ 25,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\202036-9.jpg"
"202036,BRINCO PRATA 925 GOTA CRAVEJADA,""R$ 25,80"",Imagem não encontrada"
"202036,BRINCO PRATA 925 GOTA CRAVEJADA,""R$ 25,80"",Imagem não encontrada"
"205229,COLAR PRATA 925 CÍRCULOS CRAVEJADO,""R$ 139,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\205229-1.jpg"
"205255,PULSEIRA PRATA 925 CÍRCULOS CRAVEJADOS,""R$ 39,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\205255-1.jpg"
"205260,PULSEIRA PRATA 925 MEDALHA DE SÃO BENTO COM DETALHE EM ZIRCÔNIA,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\205260-1.jpg"
"205270,PULSEIRA PRATA 925 BORBOLETA COM DETALHES EM ZIRCÔNIA,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\205270-1.jpg"
"205270,PULSEIRA PRATA 925 BORBOLETA COM DETALHES EM ZIRCÔNIA,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\205270-3.jpg"
"205270,PULSEIRA PRATA 925 BORBOLETA COM DETALHES EM ZIRCÔNIA,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\205270-5.jpg"
"206351,BERLOQUE PRATA 925 MENINO,""R$ 119,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\206351-1.jpg"
"207201,CHOKER PRATA 925 TERÇO COM ZIRCÔNIAS,""R$ 179,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\207201-1.jpg"
"207243,COLAR PRATA 925 CORAÇÕES VAZADOS,""R$ 119,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\207243-1.jpg"
"207303,PULSEIRA PRATA 925 BORBOLETA LISA E CORAÇÕES EM ZIRCÔNIA,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\207303-1.jpg"
"209451,PULSEIRA PRATA 925 MODELO CORAÇÕES VAZADOS COM CORAÇÃO EM ZIRCÔNIA,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\209451-1.jpg"
"209473,PULSEIRA PRATA 925 CORAÇÕES EM ZIRCÔNIA,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\209473-1.jpg"
"211221,PULSEIRA PRATA 925 BORBOLETA LISA,""R$ 39,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\211221-1.jpg"
"213448,PULSEIRA PRATA 925 TERÇO COM ZIRCÔNIA,""R$ 119,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\213448-1.jpg"
"213655,PULSEIRA PRATA 925 CORAÇÕES COM DETALHE EM ZIRCÔNIA,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\213655-1.jpg"
"213655,PULSEIRA PRATA 925 CORAÇÕES COM DETALHE EM ZIRCÔNIA,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\213655-3.jpg"
"215974,TORNOZELEIRA PRATA 925 CORAÇÕES EM ZIRCÔNIA,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\215974-1.jpg"
"215974,TORNOZELEIRA PRATA 925 CORAÇÕES EM ZIRCÔNIA,""R$ 79,80"",Imagem não encontrada"
"215983,TORNOZELEIRA PRATA 925 BORBOLETA COM DETALHE CORAÇÕES,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\215983-1.jpg"
"215991,PULSEIRA PRATA 925 CORAÇÕES VAZADOS E COM ZIRCÔNIA,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\215991-1.jpg"
"215993,PULSEIRA PRATA 925 CORAÇÃO VAZADO COM DETALHE PONTOS DE LUZ,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\215993-1.jpg"
"215999,PULSEIRA PRATA 925 CORAÇÕES VAZADOS E EM ZIRCÔNIA,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\215999-1.jpg"
"215999,PULSEIRA PRATA 925 CORAÇÕES VAZADOS E EM ZIRCÔNIA,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\215999-4.jpg"
"217468,COLAR PRATA 925 CÍRCULOS CRAVEJADO,""R$ 139,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\217468-1.jpg"
"218084,PULSEIRA PRATA 925 TREVO EM  ZIRCÔNIA,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\218084-1.jpg"
"218176,SEPARADOR PRATA 925 BORBOLETA COM DETALHE CRAVEJADO,""R$ 119,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\218176-1.jpg"
"218176,SEPARADOR PRATA 925 BORBOLETA COM DETALHE CRAVEJADO,""R$ 119,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\218176-3.jpg"
"218176,SEPARADOR PRATA 925 BORBOLETA COM DETALHE CRAVEJADO,""R$ 119,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\218176-7.jpg"
"218191,SEPARADOR PRATA 925 ASTRONAUTA,""R$ 119,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\218191-1.jpg"
"218225,BERLOQUE PRATA 925 CORUJA CRAVEJADA,""R$ 119,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\218225-1.jpg"
"234807,PULSEIRA PRATA 925 BORBOLETAS LISAS,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\234807-1.jpg"
"234861,PULSEIRA  PRATA 925 TREVO,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\234861-1.jpg"
"234864,PULSEIRA PRATA 925 CÍRCULO COM CORAÇÕES LISO E VAZADO,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\234864-1.jpg"
"234933,PULSEIRA PRATA 925 GOTAS COM ZIRCÔNIA,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\234933-1.jpg"
"234954,TORNOZELEIRA PRATA 925 PINGENTE  CORAÇÕES LISO E COM ZIRCÔNIA,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\234954-1.jpg"
"236658,PULSEIRA PRATA 925 CORAÇÕES LISOS,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\236658-1.jpg"
"237571,BRINCO PRATA 925 BASE PONTO DE LUZ DETALHE CORAÇÃO,""R$ 39,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\237571-1.jpg"
"237571,BRINCO PRATA 925 BASE PONTO DE LUZ DETALHE CORAÇÃO,""R$ 39,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\237571-11.jpg"
"237571,BRINCO PRATA 925 BASE PONTO DE LUZ DETALHE CORAÇÃO,""R$ 39,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\237571-3.jpg"
"237571,BRINCO PRATA 925 BASE PONTO DE LUZ DETALHE CORAÇÃO,""R$ 39,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\237571-5.jpg"
"237571,BRINCO PRATA 925 BASE PONTO DE LUZ DETALHE CORAÇÃO,""R$ 39,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\237571-7.jpg"
"237571,BRINCO PRATA 925 BASE PONTO DE LUZ DETALHE CORAÇÃO,""R$ 39,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\237571-9.jpg"
"258164,BERLOQUE PRATA 925 BOLSA E SAPATO,""R$ 159,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258164-1.jpg"
